watershed	North Fork Chetco River	42.15186258	-124.25358914
watershed	Jack Creek-Chetco River	42.06037448	-124.22135171
watershed	Crook Creek-Pistol River	42.28129398	-124.34677339
watershed	Myers Creek-Frontal Pacific Ocean	42.34342964	-124.40019531
watershed	Lower Hunter Creek	42.35514498	-124.35885474
grid	42.1, -124.26	42.1	-124.26
grid	42.11, -124.26	42.11	-124.26
grid	42.07, -124.26	42.07	-124.26
grid	42.12, -124.26	42.12	-124.26
grid	42.08, -124.26	42.08	-124.26
grid	42.07, -124.25	42.07	-124.25
grid	42.09, -124.27	42.09	-124.27
grid	42.09, -124.28	42.09	-124.28
grid	42.11, -124.25	42.11	-124.25
grid	42.09, -124.25	42.09	-124.25
grid	42.14, -124.27	42.14	-124.27
grid	42.1, -124.25	42.1	-124.25
grid	42.1, -124.27	42.1	-124.27
grid	42.08, -124.25	42.08	-124.25
grid	42.15, -124.27	42.15	-124.27
grid	42.08, -124.27	42.08	-124.27
grid	42.1, -124.28	42.1	-124.28
grid	42.11, -124.24	42.11	-124.24
grid	42.29, -124.4	42.29	-124.4
grid	42.3, -124.4	42.3	-124.4
grid	42.29, -124.39	42.29	-124.39
grid	42.31, -124.4	42.31	-124.4
grid	42.3, -124.39	42.3	-124.39
grid	42.32, -124.4	42.32	-124.4
grid	42.33, -124.41	42.33	-124.41
grid	42.34, -124.36	42.34	-124.36
grid	42.3, -124.38	42.3	-124.38
grid	42.33, -124.38	42.33	-124.38
grid	42.33, -124.4	42.33	-124.4
grid	42.33, -124.39	42.33	-124.39
grid	42.35, -124.41	42.35	-124.41
grid	42.29, -124.38	42.29	-124.38
grid	42.32, -124.41	42.32	-124.41
grid	42.34, -124.41	42.34	-124.41
grid	42.32, -124.38	42.32	-124.38
grid	42.32, -124.37	42.32	-124.37
grid	42.34, -124.38	42.34	-124.38
